ID,TRL_TITL,TRIAL_ID,ENTRYNO,ENTRY,COUNTRY,LOCATION,DESCRIPTION,LONGITUDE,LATITUDE,AEZONE,YEAR,YIELD,YIELD2,DY_SK,PL_HT,E_HT,ASI,P_ASP,P_HARV,E_HARV,E_ASP,GWT,1000GWT,HUSK,RL,RLPER,SL,SLPER,E_ROT,RUST,BLIGHT,CURV,DIPLODIA,DM,ANTHESIS,STALK_ROT,STREAK,INSECT,MOIST,COBDAMCO,COBDAMRT,DEADHEART,SBDAMAT,BORERDMRAT,GLS,GTEXT,PLST,Pest_Risk_Score
1,1,0,1,3,0,0,0,28.37,-14.17,0,1990,5178.0,0,70.0,2.0,1.0,2.0266666666666664,2.8,39.0,32.0,2.8,0,0,6.966666666666668,2.2666666666666666,6.0,2.8266666666666667,3.0,0.5249999999999999,1.8666666666666663,2.3,0,0,0,66.0,0,0.75,0,16.689393939393938,0,0,0,0,0,0,0,19.916666666666668,1586.4068181818182
2,1,0,2,1,0,0,0,28.37,-14.17,0,1990,6237.0,0,73.0,3.0,1.0,2.0266666666666664,3.0,42.0,42.0,2.8,0,0,6.966666666666668,2.2666666666666666,7.0,2.8266666666666667,2.0,0.5249999999999999,1.8666666666666663,2.0,0,0,0,66.0,0,0.75,0,16.689393939393938,0,0,0,0,0,0,0,19.916666666666668,1905.306818181818
3,1,0,3,27,0,0,0,28.37,-14.17,0,1990,6958.0,0,70.0,2.0,1.0,2.0266666666666664,2.3,44.0,41.0,2.3,0,0,6.966666666666668,2.2666666666666666,3.0,2.8266666666666667,1.0,0.5249999999999999,1.8666666666666663,1.8,0,0,0,68.0,0,0.75,0,16.689393939393938,0,0,0,0,0,0,0,19.916666666666668,2120.4068181818184
4,1,0,4,0,0,0,0,28.37,-14.17,0,1990,4784.0,0,73.0,3.0,1.0,2.0266666666666664,2.3,43.0,38.0,3.8,0,0,6.966666666666668,2.2666666666666666,1.0,2.8266666666666667,1.0,0.5249999999999999,1.8666666666666663,2.0,0,0,0,75.97222222222223,0,0.75,0,16.689393939393938,0,0,0,0,0,0,0,19.916666666666668,1469.4068181818182
5,1,0,5,4,0,0,0,28.37,-14.17,0,1990,6133.0,0,66.0,2.0,1.0,2.0266666666666664,3.0,43.0,41.0,2.8,0,0,6.966666666666668,2.2666666666666666,6.0,2.8266666666666667,4.0,0.5249999999999999,1.8666666666666663,3.0,0,0,0,75.97222222222223,0,0.75,0,16.689393939393938,0,0,0,0,0,0,0,19.916666666666668,1871.306818181818
6,1,0,6,5,0,0,0,28.37,-14.17,0,1990,7462.0,0,69.0,2.0,1.0,2.0266666666666664,1.5,41.0,40.0,2.0,0,0,6.966666666666668,2.2666666666666666,4.0,2.8266666666666667,1.0,0.5249999999999999,1.8666666666666663,2.0,0,0,0,75.97222222222223,0,0.75,0,16.689393939393938,0,0,0,0,0,0,0,19.916666666666668,2271.206818181818
13,0,2,1,2,0,0,0,28.37,-14.17,0,1990,4015.0,0,67.0,233.0,108.0,2.0266666666666664,3.8,41.0,35.0,4.3,0,0,6.966666666666668,2.2666666666666666,31.0,2.8266666666666667,6.0,0.5249999999999999,1.8666666666666663,3.8,0,0,0,76.5,0,0.75,0,13.85,0,0,0,0,0,0,0,14.0,1235.455
14,0,2,2,7,0,0,0,28.37,-14.17,0,1990,5604.0,0,66.0,216.0,109.0,2.0266666666666664,2.8,44.0,42.0,3.3,0,0,6.966666666666668,2.2666666666666666,15.0,2.8266666666666667,5.0,0.5249999999999999,1.8666666666666663,2.8,0,0,0,84.0,0,0.75,0,12.05,0,0,0,0,0,0,0,15.0,1711.2150000000001
15,0,2,3,8,0,0,0,28.37,-14.17,0,1990,4468.0,0,65.0,180.0,88.0,2.0266666666666664,3.0,43.0,38.0,3.5,0,0,6.966666666666668,2.2666666666666666,14.0,2.8266666666666667,3.0,0.5249999999999999,1.8666666666666663,2.8,0,0,0,88.0,0,0.75,0,11.4,0,0,0,0,0,0,0,21.0,1369.82
16,0,2,4,9,0,0,0,28.37,-14.17,0,1990,4363.0,0,70.0,201.0,106.0,2.0266666666666664,3.0,44.0,38.0,3.3,0,0,6.966666666666668,2.2666666666666666,17.0,2.8266666666666667,5.0,0.5249999999999999,1.8666666666666663,3.5,0,0,0,86.5,0,0.75,0,10.45,0,0,0,0,0,0,0,18.0,1340.0349999999999
17,0,2,5,10,0,0,0,28.37,-14.17,0,1990,4937.0,0,66.0,221.0,109.0,2.0266666666666664,3.8,42.0,40.0,3.3,0,0,6.966666666666668,2.2666666666666666,30.0,2.8266666666666667,7.0,0.5249999999999999,1.8666666666666663,3.3,0,0,0,84.0,0,0.75,0,12.55,0,0,0,0,0,0,0,22.0,1511.2649999999999
18,0,2,6,28,0,0,0,28.37,-14.17,0,1990,4794.0,0,72.0,223.0,113.0,2.0266666666666664,2.8,42.0,37.0,2.8,0,0,6.966666666666668,2.2666666666666666,7.0,2.8266666666666667,5.0,0.5249999999999999,1.8666666666666663,3.3,0,0,0,88.5,0,0.75,0,12.6,0,0,0,0,0,0,0,20.5,1470.78
19,0,2,7,11,0,0,0,28.37,-14.17,0,1990,4046.0,0,67.0,201.0,96.0,2.0266666666666664,2.8,43.0,35.0,3.5,0,0,6.966666666666668,2.2666666666666666,11.0,2.8266666666666667,3.0,0.5249999999999999,1.8666666666666663,2.3,0,0,0,83.5,0,0.75,0,10.2,0,0,0,0,0,0,0,20.0,1243.6599999999999
20,0,2,8,12,0,0,0,28.37,-14.17,0,1990,6053.0,0,66.0,201.0,106.0,2.0266666666666664,3.3,43.0,41.0,2.3,0,0,6.966666666666668,2.2666666666666666,21.0,2.8266666666666667,15.0,0.5249999999999999,1.8666666666666663,2.3,0,0,0,85.5,0,0.75,0,11.75,0,0,0,0,0,0,0,15.5,1845.8249999999998
21,0,2,9,13,0,0,0,28.37,-14.17,0,1990,7921.0,0,68.0,258.0,123.0,2.0266666666666664,2.0,44.0,40.0,2.0,0,0,6.966666666666668,2.2666666666666666,9.0,2.8266666666666667,4.0,0.5249999999999999,1.8666666666666663,1.5,0,0,0,79.5,0,0.75,0,8.1,0,0,0,0,0,0,0,18.5,2405.93
22,0,3,1,2,0,2,0,27.07,-16.83,1,1990,5756.0,0,75.0,140.0,76.0,2.0266666666666664,1.0,41.0,40.0,2.8,0,0,1.3,2.2666666666666666,11.4375,2.8266666666666667,1.0,0.5249999999999999,1.5,1.0,0,0,0,78.5,0,0.75,0,16.45,0,0,0,0,0,0,0,22.0,1761.735
23,0,3,2,7,0,2,0,27.07,-16.83,1,1990,6549.0,0,68.0,148.0,65.0,2.0266666666666664,1.8,38.0,36.0,2.5,0,0,1.8,2.2666666666666666,11.4375,2.8266666666666667,1.0,0.5249999999999999,1.8,1.0,0,0,0,79.0,0,0.75,0,11.05,0,0,0,0,0,0,0,21.0,1995.215
24,0,3,3,8,0,2,0,27.07,-16.83,1,1990,4414.0,0,70.0,130.0,44.0,2.0266666666666664,1.3,37.0,36.0,3.0,0,0,1.3,2.2666666666666666,11.4375,2.8266666666666667,3.272727272727273,0.5249999999999999,1.8,1.0,0,0,0,80.0,0,0.75,0,15.6,0,0,0,0,0,0,0,20.5,1356.88
25,0,3,4,9,0,2,0,27.07,-16.83,1,1990,6085.0,0,70.0,160.0,73.0,2.0266666666666664,1.0,35.0,37.0,2.0,0,0,2.0,2.2666666666666666,11.4375,2.8266666666666667,1.0,0.5249999999999999,2.0,1.0,0,0,0,77.5,0,0.75,0,14.05,0,0,0,0,0,0,0,21.5,1857.715
26,0,3,5,10,0,2,0,27.07,-16.83,1,1990,5367.0,0,68.0,158.0,70.0,2.0266666666666664,2.0,39.0,38.0,2.5,0,0,1.3,2.2666666666666666,11.4375,2.8266666666666667,3.272727272727273,0.5249999999999999,1.8,1.3,0,0,0,77.0,0,0.75,0,13.4,0,0,0,0,0,0,0,21.0,1641.32
27,0,3,6,28,0,2,0,27.07,-16.83,1,1990,7341.0,0,72.0,163.0,81.0,2.0266666666666664,1.5,41.0,43.0,2.0,0,0,1.3,2.2666666666666666,11.4375,2.8266666666666667,1.0,0.5249999999999999,2.3,1.0,0,0,0,77.5,0,0.75,0,10.95,0,0,0,0,0,0,0,22.0,2234.3849999999998
